City_ID,City,City latitude,City longitude,Max temperature,Humidity,Cloud coverage,Wind speed,City country,City datetime
119,Hithadhoo,-0.6,73.0833,82.87,73,25,10.6,MV,1660208379
120,Samarai,-10.6167,150.6667,78.94,79,100,16.42,PG,1660208381
121,Manzini,-26.25,31.5,76.32,34,0,6.17,SZ,1660208382
122,Upernavik,72.7868,-56.1549,40.3,85,100,5.64,GL,1660208383
123,Kumul,42.8,93.45,105.87,11,6,10.07,CN,1660208383
124,Airai,-8.9266,125.4092,61.86,93,100,1.92,TL,1660208384
125,Saint George,37.1041,-113.5841,79.95,53,100,1.01,US,1660208385
126,Mayor Pablo Lagerenza,-19.9309,-60.7718,48.22,73,0,4.61,PY,1660208386
127,Zhigansk,66.7697,123.3711,61.43,52,97,21.03,RU,1660207971
128,Shache,38.4167,77.2406,89.6,31,70,0.58,CN,1660208389
129,Port Blair,11.6667,92.75,86.04,70,75,16.11,IN,1660208390
130,Kostomuksha,64.571,30.5767,69.22,63,100,15.35,RU,1660208390
131,Scottsbluff,41.8666,-103.6672,76.28,50,1,7.0,US,1660208391
132,Isla Mujeres,21.2311,-86.731,80.92,86,98,9.51,MX,1660208392
133,Tiksi,71.6872,128.8694,48.97,72,100,4.12,RU,1660207959
134,Dauphin,51.1494,-100.0502,48.34,82,0,0.0,CA,1660208202
135,Tessalit,20.1986,1.0114,96.01,26,12,8.37,ML,1660208395
136,Suicheng,33.8963,117.9331,95.72,64,73,5.39,CN,1660208396
137,Narsaq,60.9167,-46.05,45.23,88,100,2.15,GL,1660208397
138,Westport,41.1415,-73.3579,75.09,88,75,5.01,US,1660208332
139,Koslan,63.4564,48.8989,71.74,33,39,8.95,RU,1660208398
140,Omsukchan,62.5333,155.8,52.5,91,100,5.77,RU,1660208399
141,Aberdeen,57.1437,-2.0981,75.2,54,7,3.44,GB,1660208207
142,Kamaishi,39.2667,141.8833,77.27,95,82,10.31,JP,1660208401
143,Mount Gambier,-37.8333,140.7667,48.11,87,40,3.44,AU,1660208402
144,Bethel,41.3712,-73.414,73.76,81,20,3.44,US,1660208346
145,Senneterre,48.3835,-77.2328,50.16,99,25,5.55,CA,1660208404
146,Monreale,38.0801,13.2885,83.66,37,0,4.0,IT,1660208406
147,Hasaki,35.7333,140.8333,88.29,85,65,24.9,JP,1660208407
148,Belmonte,-15.8631,-38.8828,70.21,89,61,13.49,BR,1660208408
149,Grindavik,63.8424,-22.4338,50.47,87,75,12.66,IS,1660208410
150,Qaanaaq,77.484,-69.3632,34.86,71,100,5.86,GL,1660208412
151,Liuzhou,24.3126,109.3892,85.42,72,100,8.57,CN,1660208474
152,Siocon,7.7061,122.1353,83.98,74,60,3.29,PH,1660208475
153,Plettenberg Bay,-34.0527,23.3716,62.55,66,94,3.13,ZA,1660208477
154,Yerbogachën,61.2767,108.0108,68.0,64,55,6.6,RU,1660208478
155,Mareeba,-17.0,145.4333,68.72,87,0,3.96,AU,1660208479
156,Lebu,-37.6167,-73.65,44.02,86,0,4.54,CL,1660208480
157,Kupang,-10.1667,123.5833,79.63,78,62,11.34,ID,1660208482
158,Longyearbyen,78.2186,15.6401,49.84,71,75,14.97,SJ,1660207957
159,Bathsheba,13.2167,-59.5167,79.61,83,16,10.56,BB,1660208484
160,Lisala,2.15,21.5167,85.69,55,99,3.96,CD,1660208485
161,Tateyama,34.9833,139.8667,83.1,86,52,21.63,JP,1660208486
162,Aswān,24.0934,32.907,99.7,22,0,10.36,EG,1660208332
163,Talnakh,69.4865,88.3972,56.21,51,44,8.23,RU,1660208488
164,Buchs,47.1674,9.4779,81.19,63,16,1.01,CH,1660208489
165,Alberton,46.8168,-64.0654,63.52,87,100,5.91,CA,1660208490
166,Deputatsky,69.3,139.9,61.57,61,99,7.72,RU,1660208491
167,Plovdiv,42.15,24.75,80.67,47,17,3.44,BG,1660208493
